dv/v,err,date
0.004090,0.008555,20230603
0.003814,0.005072,20230604
-0.005891,0.006819,20230605
-0.006527,0.005889,20230607
-0.004203,0.005101,20230608
-0.004754,0.003972,20230609
-0.004740,0.003669,20230610
-0.004911,0.003385,20230611
-0.006770,0.003337,20230612
-0.007559,0.003218,20230613
-0.007344,0.003181,20230614
-0.007393,0.003118,20230615
-0.009349,0.003053,20230616
-0.009720,0.003008,20230617
-0.006513,0.002739,20230618
-0.006549,0.002664,20230620
-0.006461,0.002701,20230621
-0.006008,0.002811,20230622
-0.005373,0.002748,20230623
-0.004720,0.002770,20230624
-0.003783,0.002628,20230625
-0.003397,0.002620,20230626
-0.002985,0.002598,20230627
-0.003087,0.002612,20230628
-0.002343,0.002520,20230629
-0.001698,0.002574,20230630
-0.002175,0.002535,20230701
-0.002003,0.002507,20230702
-0.001554,0.002495,20230703
-0.001666,0.002384,20230704
-0.001290,0.002424,20230706
-0.001548,0.002452,20230707
-0.001348,0.002479,20230708
-0.001319,0.002424,20230709
-0.000781,0.002407,20230710
-0.000304,0.002402,20230711
-0.000271,0.002400,20230712
0.000036,0.002370,20230713
0.000652,0.002387,20230714
0.000866,0.002402,20230715
0.001493,0.002336,20230716
0.001945,0.002378,20230717
0.001972,0.002415,20230718
0.002360,0.002392,20230719
0.002960,0.002414,20230720
0.003125,0.002438,20230721
0.003094,0.002477,20230722
0.003023,0.002459,20230723
0.003137,0.002503,20230724
0.003215,0.002559,20230725
0.003471,0.002671,20230726
0.003971,0.002678,20230727
0.003829,0.002550,20230728
0.003860,0.002459,20230729
0.003779,0.002309,20230730
0.003798,0.002233,20230731
0.004352,0.002200,20230801
0.004840,0.002132,20230802
0.003878,0.001840,20230913
0.005857,0.002048,20230914
0.005569,0.002294,20230915
0.005474,0.002471,20230916
0.005058,0.002639,20230917
0.004658,0.002777,20230918
0.005154,0.002791,20230919
0.005228,0.002786,20230920
0.005034,0.002742,20230921
0.004735,0.002651,20230922
0.004878,0.002570,20230923
0.005112,0.002509,20230924
0.005362,0.002464,20230925
0.005228,0.002485,20230926
0.004213,0.002504,20230927
0.004453,0.002377,20230928
0.004587,0.002327,20230929
0.005394,0.002271,20230930
0.005580,0.002180,20231001
0.005572,0.002201,20231002
0.005808,0.002284,20231005
0.007025,0.002135,20231006
0.003882,0.002030,20231007
0.003474,0.002068,20231009
0.003026,0.001965,20231010
0.000904,0.002019,20231013
0.003135,0.002208,20231015
0.004209,0.002041,20231018
0.003701,0.002007,20231019
0.005177,0.001924,20231020
0.004843,0.001808,20231021
0.007535,0.001845,20231022
0.007786,0.001983,20231023
0.006882,0.001911,20231024
0.007186,0.001854,20231025
0.006924,0.001809,20231027
0.006539,0.001935,20231028
0.006197,0.001985,20231029
0.005787,0.002033,20231030
0.004860,0.002193,20231031
0.004602,0.002223,20231101
0.002903,0.001784,20231102
0.003376,0.001941,20231103
0.001901,0.001981,20231104
-0.000250,0.002137,20231108
-0.000097,0.002056,20231109
0.000809,0.002058,20231110
0.002024,0.002008,20231111
0.002353,0.002067,20231112
0.002658,0.002055,20231113
0.003032,0.002118,20231114
0.003015,0.002166,20231115
