datetime,Daily_DS_cm,13D_smooth_DS_cm,Daily_sm_set1,Daily_sm_set5,13D_sm_set1,13D_sm_set5,301_gw_elev,302_gw_elev,303_gw_elev,13D_smooth_GW301_m,13D_smooth_GW302_m,13D_smooth_GW303_m,Daily_precip_mm
2023-06-08,0.2973,0.3803,11.9000,29.8800,11.4392,33.5392,1707.6860,1707.4302,1706.9940,1707.7723,1707.5075,1707.0215,3.0500
2023-06-09,0.2860,0.3655,12.6200,29.1400,11.4831,32.9538,1707.6733,1707.4177,1706.9840,1707.7590,1707.4940,1707.0157,0.0000
2023-06-10,0.2772,0.3513,12.9700,28.3600,11.5523,32.3454,1707.6692,1707.4083,1706.9754,1707.7463,1707.4812,1707.0096,0.0000
2023-06-11,0.2718,0.3383,12.7900,27.4000,11.6131,31.6908,1707.6529,1707.3990,1706.9688,1707.7332,1707.4689,1707.0037,1.2700
2023-06-12,0.2656,0.3262,12.3700,26.6200,11.6569,31.0038,1707.6421,1707.3958,1706.9673,1707.7201,1707.4575,1706.9984,0.0000
2023-06-13,0.2591,0.3148,12.2700,26.0700,11.7092,30.3415,1707.6325,1707.3910,1706.9656,1707.7072,1707.4469,1706.9937,0.0000
2023-06-14,0.2529,0.3042,12.2100,25.6400,11.8031,29.6846,1707.6194,1707.3848,1706.9604,1707.6939,1707.4364,1706.9887,0.0000
2023-06-15,0.2580,0.2953,17.3800,25.1000,12.3131,29.0346,1707.6152,1707.3860,1706.9658,1707.6815,1707.4268,1706.9847,8.1300
2023-06-16,0.2435,0.2861,16.9800,24.7700,12.7992,28.3862,1707.6119,1707.3819,1706.9660,1707.6703,1707.4183,1706.9808,0.0000
2023-06-17,0.2339,0.2775,16.6600,24.4600,13.2338,27.7646,1707.5948,1707.3685,1706.9523,1707.6587,1707.4096,1706.9762,0.0000
2023-06-18,0.2257,0.2694,16.4300,24.3800,13.6246,27.1869,1707.5871,1707.3650,1706.9458,1707.6474,1707.4019,1706.9719,0.0000
2023-06-19,0.2183,0.2616,15.6400,23.9800,13.9669,26.6523,1707.5796,1707.3585,1706.9423,1707.6361,1707.3944,1706.9677,0.0000
2023-06-20,0.2192,0.2545,15.2300,23.5400,14.2654,26.1031,1707.5844,1707.3608,1706.9410,1707.6268,1707.3883,1706.9637,1.0100
2023-06-21,0.2121,0.2479,14.9900,23.4700,14.5031,25.6100,1707.5821,1707.3600,1706.9373,1707.6188,1707.3829,1706.9594,0.0000
2023-06-22,0.2044,0.2417,14.7300,22.9600,14.6654,25.1346,1707.5781,1707.3485,1706.9312,1707.6115,1707.3775,1706.9553,0.0000
2023-06-23,0.1982,0.2356,14.0800,22.5600,14.7508,24.6885,1707.5756,1707.3385,1706.9242,1707.6043,1707.3722,1706.9514,0.0000
2023-06-24,0.1945,0.2296,12.9800,22.1500,14.7654,24.2846,1707.5615,1707.3335,1706.9208,1707.5973,1707.3671,1706.9477,0.0000
2023-06-25,0.1880,0.2237,12.3700,21.9100,14.7654,23.9223,1707.5331,1707.3248,1706.9158,1707.5889,1707.3617,1706.9437,0.0000
2023-06-26,0.1821,0.2178,11.6800,21.2700,14.7200,23.5531,1707.5044,1707.3129,1706.9094,1707.5790,1707.3557,1706.9394,0.0000
2023-06-27,0.1784,0.2120,11.0800,20.7400,14.6331,23.1762,1707.4827,1707.3094,1706.9062,1707.5685,1707.3499,1706.9352,0.0000
2023-06-28,0.1756,0.2057,10.5800,20.5200,14.1100,22.8238,1707.4715,1707.3100,1706.9071,1707.5574,1707.3440,1706.9307,0.0000
2023-06-29,0.1713,0.2001,10.4100,20.4700,13.6046,22.4931,1707.4677,1707.3115,1706.9081,1707.5464,1707.3386,1706.9263,0.0000
2023-06-30,0.1676,0.1950,10.2300,20.1500,13.1100,22.1615,1707.4571,1707.3017,1706.9013,1707.5358,1707.3335,1706.9223,0.0000
2023-07-01,0.1623,0.1902,10.0600,19.8800,12.6200,21.8154,1707.4471,1707.2956,1706.8954,1707.5250,1707.3281,1706.9185,0.0000
2023-07-02,0.1577,0.1855,9.9000,19.7800,12.1785,21.4923,1707.4362,1707.2848,1706.8888,1707.5140,1707.3225,1706.9144,0.0000
2023-07-03,0.1532,0.1804,9.5100,19.6300,11.7385,21.1915,1707.4283,1707.2769,1706.8829,1707.5020,1707.3160,1706.9099,0.0000
2023-07-04,0.1501,0.1757,9.2700,19.6900,11.2985,20.9008,1707.4250,1707.2752,1706.8810,1707.4899,1707.3095,1706.9056,1.2700
2023-07-05,0.1467,0.1712,9.2800,19.5200,10.8792,20.6362,1707.4229,1707.2735,1706.8791,1707.4779,1707.3037,1706.9015,0.0000
2023-07-06,0.1444,0.1671,9.1500,19.4800,10.5000,20.3992,1707.4242,1707.2758,1706.8775,1707.4663,1707.2989,1706.8980,0.0000
2023-07-07,0.1390,0.1628,9.0500,19.3400,10.1977,20.1831,1707.4156,1707.2685,1706.8708,1707.4551,1707.2939,1706.8941,0.0000
2023-07-08,0.1345,0.1587,8.9900,19.3100,9.9377,19.9831,1707.4094,1707.2621,1706.8660,1707.4455,1707.2891,1706.8903,0.0000
2023-07-09,0.1305,0.1547,8.9400,19.1700,9.7269,19.8215,1707.4010,1707.2552,1706.8615,1707.4376,1707.2846,1706.8866,0.0000
2023-07-10,0.1271,0.1508,8.7900,19.0600,9.5508,19.6923,1707.3900,1707.2477,1706.8542,1707.4305,1707.2799,1706.8826,0.0000
2023-07-11,0.1237,0.1468,8.6000,18.9200,9.3985,19.5692,1707.3825,1707.2440,1706.8479,1707.4236,1707.2748,1706.8780,0.0000
2023-07-12,0.1212,0.1429,8.4700,18.9200,9.2492,19.4500,1707.3748,1707.2400,1706.8448,1707.4165,1707.2693,1706.8732,0.0000
2023-07-13,0.1184,0.1391,8.3700,18.9100,9.1062,19.3546,1707.3706,1707.2390,1706.8404,1707.4098,1707.2645,1706.8685,0.0000
2023-07-14,0.1158,0.1356,8.2700,18.8600,8.9685,19.2762,1707.3660,1707.2369,1706.8369,1707.4036,1707.2600,1706.8640,0.0000
2023-07-15,0.1124,0.1321,8.2000,18.8900,8.8377,19.2077,1707.3617,1707.2352,1706.8346,1707.3978,1707.2562,1706.8598,0.0000
2023-07-16,0.1090,0.1287,8.1200,18.7900,8.7308,19.1431,1707.3519,1707.2296,1706.8296,1707.3920,1707.2525,1706.8557,0.0000
2023-07-17,0.1053,0.1252,7.9800,18.7800,8.6315,19.0731,1707.3375,1707.2215,1706.8229,1707.3852,1707.2484,1706.8512,0.0000
2023-07-18,0.1034,0.1219,7.9400,18.7700,8.5285,19.0154,1707.3363,1707.2233,1706.8188,1707.3786,1707.2445,1706.8466,0.0000
2023-07-19,0.1028,0.1187,7.8900,18.7300,8.4315,18.9577,1707.3469,1707.2327,1706.8254,1707.3726,1707.2412,1706.8426,0.5100
2023-07-20,0.1017,0.1158,8.1700,18.8800,8.3638,18.9223,1707.3590,1707.2388,1706.8327,1707.3683,1707.2389,1706.8397,2.2800
2023-07-21,0.0977,0.1130,8.3200,18.7600,8.3123,18.8800,1707.3440,1707.2292,1706.8250,1707.3632,1707.2364,1706.8365,0.0000
2023-07-22,0.0943,0.1102,8.1900,18.8000,8.2546,18.8515,1707.3235,1707.2173,1706.8144,1707.3573,1707.2335,1706.8329,0.0000
2023-07-23,0.0912,0.1075,8.0500,18.6900,8.1977,18.8231,1707.3142,1707.2135,1706.8069,1707.3515,1707.2308,1706.8293,0.0000
2023-07-24,0.0895,0.1048,7.9300,18.7200,8.1462,18.8077,1707.3131,1707.2167,1706.8065,1707.3461,1707.2287,1706.8261,0.0000
2023-07-25,0.0892,0.1024,7.9600,18.7400,8.1069,18.7938,1707.3190,1707.2217,1706.8094,1707.3418,1707.2273,1706.8233,1.0200
2023-07-26,0.0878,0.1000,7.9200,18.7600,8.0723,18.7823,1707.3169,1707.2212,1706.8071,1707.3377,1707.2260,1706.8208,6.1000
2023-07-27,0.0864,0.0977,8.3000,18.7600,8.0746,18.7746,1707.3215,1707.2250,1706.8148,1707.3343,1707.2251,1706.8191,0.2500
2023-07-28,0.0838,0.0955,8.6000,18.6500,8.1054,18.7562,1707.3096,1707.2169,1706.8054,1707.3303,1707.2236,1706.8168,0.0000
2023-07-29,0.0818,0.0934,8.5300,18.7900,8.1369,18.7562,1707.2983,1707.2088,1706.7960,1707.3261,1707.2220,1706.8143,0.0000
2023-07-30,0.0807,0.0916,8.2900,18.6300,8.1608,18.7446,1707.2904,1707.2054,1706.7912,1707.3225,1707.2208,1706.8118,0.0000
2023-07-31,0.0796,0.0897,8.1300,18.7400,8.1754,18.7423,1707.2931,1707.2081,1706.7898,1707.3192,1707.2196,1706.8096,0.2500
2023-08-01,0.0796,0.0879,8.0500,18.6500,8.1877,18.7362,1707.3010,1707.2152,1706.7912,1707.3157,1707.2183,1706.8070,0.5100
2023-08-02,0.0903,0.0871,13.2500,18.7200,8.5785,18.7238,1707.3256,1707.2321,1706.8035,1707.3131,1707.2178,1706.8047,15.7500
2023-08-03,0.0900,0.0865,16.4300,18.6500,9.2023,18.7154,1707.3702,1707.2627,1706.8440,1707.3151,1707.2204,1706.8062,2.2900
2023-08-04,0.0923,0.0863,29.4600,18.7500,10.8385,18.7115,1707.3763,1707.2619,1706.8537,1707.3192,1707.2238,1706.8092,7.8700
2023-08-05,0.0833,0.0857,24.8800,18.7200,12.1331,18.7138,1707.3669,1707.2515,1706.8369,1707.3232,1707.2267,1706.8115,0.0000
2023-08-06,0.0807,0.0850,23.0600,18.7500,13.2969,18.7162,1707.3546,1707.2442,1706.8256,1707.3264,1707.2288,1706.8130,0.0000
2023-08-07,0.0847,0.0847,21.5000,18.8000,14.3385,18.7208,1707.3460,1707.2402,1706.8183,1707.3285,1707.2302,1706.8137,0.0000
2023-08-08,0.0917,0.0850,20.7600,18.8100,15.3262,18.7246,1707.3465,1707.2410,1706.8167,1707.3308,1707.2318,1706.8144,0.5100
2023-08-09,0.0898,0.0853,19.8200,18.6900,16.2123,18.7192,1707.3440,1707.2406,1706.8144,1707.3325,1707.2330,1706.8144,0.0000
2023-08-10,0.0869,0.0855,18.8900,18.7800,17.0038,18.7292,1707.3367,1707.2354,1706.8098,1707.3346,1707.2344,1706.8147,0.0000
2023-08-11,0.0858,0.0858,17.8300,18.7400,17.7192,18.7254,1707.3267,1707.2308,1706.8033,1707.3368,1707.2361,1706.8153,0.0000
2023-08-12,0.0844,0.0861,15.9900,18.9600,18.3115,18.7508,1707.3279,1707.2319,1706.8048,1707.3397,1707.2381,1706.8163,0.0000
2023-08-13,0.0827,0.0863,14.5600,18.7900,18.8062,18.7546,1707.3183,1707.2265,1706.7987,1707.3416,1707.2395,1706.8170,0.0000
2023-08-14,0.0804,0.0864,13.1700,18.9200,19.2000,18.7754,1707.3071,1707.2183,1706.7929,1707.3421,1707.2398,1706.8171,0.0000
2023-08-15,0.0790,0.0855,12.0400,18.6800,19.1069,18.7723,1707.3006,1707.2181,1706.7879,1707.3401,1707.2387,1706.8159,0.0000
