datetime,301_gw_elev,302_gw_elev,303_gw_elev,13D_smooth_GW301_m,13D_smooth_GW302_m,13D_smooth_GW303_m
2023-04-01,1707.7696,1707.5552,1707.0000,,,
2023-04-02,1707.7798,1707.5456,1707.0079,,,
2023-04-03,1707.8504,1707.5990,1707.0281,,,
2023-04-04,1707.8185,1707.5998,1707.0250,,,
2023-04-05,1707.7517,1707.5498,1707.0121,,,
2023-04-06,1707.7131,1707.5092,1707.0029,,,
2023-04-07,1707.7252,1707.4979,1707.0002,,,
2023-04-08,1707.8504,1707.5796,1707.0302,,,
2023-04-09,1708.1242,1707.8146,1707.1040,,,
2023-04-10,1708.2702,1707.9833,1707.1723,,,
2023-04-11,1708.3417,1708.0721,1707.2475,,,
2023-04-12,1708.3777,1708.1202,1707.3813,,,
2023-04-13,1708.3883,1708.1317,1707.4421,1707.9816,1707.7352,1707.1118
2023-04-14,1708.2679,1708.0435,1707.3554,1708.0199,1707.7728,1707.1392
2023-04-15,1708.1083,1707.9506,1707.3056,1708.0452,1707.8039,1707.1621
2023-04-16,1708.0840,1707.9450,1707.2985,1708.0632,1707.8306,1707.1829
2023-04-17,1708.2313,1708.0375,1707.3398,1708.0949,1707.8642,1707.2071
2023-04-18,1708.3265,1708.0992,1707.3794,1708.1391,1707.9065,1707.2353
2023-04-19,1708.1806,1708.0183,1707.3500,1708.1751,1707.9457,1707.2620
2023-04-20,1708.0169,1707.9119,1707.3140,1708.1975,1707.9775,1707.2862
2023-04-21,1707.9229,1707.8369,1707.2789,1708.2031,1707.9973,1707.3053
2023-04-22,1707.8877,1707.8067,1707.2713,1708.1849,1707.9967,1707.3182
2023-04-23,1707.8700,1707.7883,1707.2625,1708.1541,1707.9817,1707.3251
2023-04-24,1707.8850,1707.8019,1707.2877,1708.1190,1707.9609,1707.3282
2023-04-25,1707.8644,1707.7831,1707.2406,1708.0795,1707.9350,1707.3174
2023-04-26,1707.8360,1707.7504,1707.3023,1708.0370,1707.9056,1707.3066
2023-04-27,1707.8415,1707.7600,1707.3394,1708.0042,1707.8838,1707.3054
2023-04-28,1707.8117,1707.7379,1707.3656,1707.9814,1707.8675,1707.3100
2023-04-29,1707.7792,1707.7085,1707.3765,1707.9580,1707.8493,1707.3160
2023-04-30,1707.7527,1707.6835,1707.3763,1707.9212,1707.8220,1707.3188
2023-05-01,1707.7365,1707.6763,1707.3823,1707.8758,1707.7895,1707.3190
2023-05-02,1707.7254,1707.6683,1707.3810,1707.8408,1707.7626,1707.3214
2023-05-03,1707.7323,1707.6671,1707.3740,1707.8189,1707.7438,1707.3260
2023-05-04,1708.0498,1707.8065,1707.3648,1707.8286,1707.7414,1707.3326
2023-05-05,1708.2860,1707.9708,1707.3496,1707.8593,1707.7540,1707.3387
2023-05-06,1708.3387,1708.0238,1707.3188,1707.8953,1707.7722,1707.3430
2023-05-07,1708.3540,1708.0400,1707.2908,1707.9314,1707.7905,1707.3432
2023-05-08,1708.3444,1708.0400,1707.2710,1707.9683,1707.8102,1707.3456
2023-05-09,1708.3460,1708.0492,1707.2617,1708.0076,1707.8332,1707.3424
2023-05-10,1708.3400,1708.0500,1707.2569,1708.0459,1707.8555,1707.3361
2023-05-11,1708.3329,1708.0465,1707.2479,1708.0860,1707.8793,1707.3270
2023-05-12,1708.3344,1708.0425,1707.2356,1708.1287,1707.9050,1707.3162
2023-05-13,1708.3300,1708.0400,1707.2279,1708.1731,1707.9324,1707.3048
2023-05-14,1708.3275,1708.0392,1707.2290,1708.2186,1707.9603,1707.2930
2023-05-15,1708.3148,1708.0283,1707.2262,1708.2639,1707.9880,1707.2811
2023-05-16,1708.2917,1708.0133,1707.2148,1708.3069,1708.0146,1707.2688
2023-05-17,1708.2037,1707.9602,1707.2021,1708.3188,1708.0264,1707.2563
