datetime,Daily_sm_set1,Daily_sm_set5,13D_sm_set1,13D_sm_set5
2023-01-01 00:00:00+00:00,29.3800,46.0900,,
2023-01-02 00:00:00+00:00,28.3600,46.0700,,
2023-01-03 00:00:00+00:00,28.6800,46.1500,,
2023-01-04 00:00:00+00:00,28.7400,46.2800,,
2023-01-05 00:00:00+00:00,28.9600,46.3400,,
2023-01-06 00:00:00+00:00,29.2500,46.7700,,
2023-01-07 00:00:00+00:00,29.2700,46.9400,,
2023-01-08 00:00:00+00:00,29.2300,46.8100,,
2023-01-09 00:00:00+00:00,29.1000,46.7700,,
2023-01-10 00:00:00+00:00,30.1100,46.8000,,
2023-01-11 00:00:00+00:00,30.1000,47.1000,,
2023-01-12 00:00:00+00:00,29.1000,46.9300,,
2023-01-13 00:00:00+00:00,29.3000,46.9400,29.1985,46.6146
2023-01-14 00:00:00+00:00,29.7500,46.8700,29.2269,46.6746
2023-01-15 00:00:00+00:00,30.8200,47.0100,29.4162,46.7469
2023-01-16 00:00:00+00:00,30.5700,46.9900,29.5615,46.8115
2023-01-17 00:00:00+00:00,30.6100,46.9000,29.7054,46.8592
2023-01-18 00:00:00+00:00,30.6200,46.9000,29.8331,46.9023
2023-01-19 00:00:00+00:00,30.5400,46.9200,29.9323,46.9138
2023-01-20 00:00:00+00:00,30.5900,47.2100,30.0338,46.9346
2023-01-21 00:00:00+00:00,30.5800,47.3800,30.1377,46.9785
2023-01-22 00:00:00+00:00,30.1200,47.1300,30.2162,47.0062
2023-01-23 00:00:00+00:00,28.9900,46.9100,30.1300,47.0146
2023-01-24 00:00:00+00:00,28.4100,47.0000,30.0000,47.0069
2023-01-25 00:00:00+00:00,28.2700,47.0500,29.9362,47.0162
2023-01-26 00:00:00+00:00,28.2700,47.0000,29.8569,47.0208
2023-01-27 00:00:00+00:00,28.8700,46.9400,29.7892,47.0262
2023-01-28 00:00:00+00:00,29.3800,46.9300,29.6785,47.0200
2023-01-29 00:00:00+00:00,29.9300,47.0400,29.6292,47.0238
2023-01-30 00:00:00+00:00,30.2000,46.9100,29.5977,47.0246
2023-01-31 00:00:00+00:00,30.0300,46.9600,29.5523,47.0292
2023-02-01 00:00:00+00:00,29.3500,46.9400,29.4608,47.0308
2023-02-02 00:00:00+00:00,28.7700,47.0900,29.3208,47.0215
2023-02-03 00:00:00+00:00,28.5200,47.2500,29.1623,47.0115
2023-02-04 00:00:00+00:00,28.5500,47.0700,29.0415,47.0069
2023-02-05 00:00:00+00:00,30.0100,46.9500,29.1200,47.0100
2023-02-06 00:00:00+00:00,30.3500,46.9100,29.2692,47.0031
2023-02-07 00:00:00+00:00,30.3100,47.0800,29.4262,47.0054
2023-02-08 00:00:00+00:00,30.7100,47.1300,29.6138,47.0154
2023-02-09 00:00:00+00:00,30.4500,46.9600,29.7354,47.0169
2023-02-10 00:00:00+00:00,29.8500,47.1800,29.7715,47.0362
2023-02-11 00:00:00+00:00,29.2500,47.0200,29.7192,47.0346
2023-02-12 00:00:00+00:00,29.3300,46.9200,29.6523,47.0354
2023-02-13 00:00:00+00:00,29.8200,47.0200,29.6362,47.0400
2023-02-14 00:00:00+00:00,31.2700,47.0000,29.7838,47.0446
2023-02-15 00:00:00+00:00,31.7000,47.0500,30.0092,47.0415
2023-02-16 00:00:00+00:00,31.3800,47.0800,30.2292,47.0285
2023-02-17 00:00:00+00:00,29.8700,47.0100,30.3308,47.0238
2023-02-18 00:00:00+00:00,29.1100,46.9900,30.2615,47.0269
2023-02-19 00:00:00+00:00,30.5900,47.0200,30.2800,47.0354
2023-02-20 00:00:00+00:00,31.8100,47.0700,30.3954,47.0346
2023-02-21 00:00:00+00:00,31.7600,47.0000,30.4762,47.0246
2023-02-22 00:00:00+00:00,32.8000,47.1300,30.6569,47.0377
2023-02-23 00:00:00+00:00,31.7600,47.1500,30.8038,47.0354
2023-02-24 00:00:00+00:00,31.6800,47.0600,30.9908,47.0385
2023-02-25 00:00:00+00:00,31.7700,47.1200,31.1785,47.0538
2023-02-26 00:00:00+00:00,32.9800,47.1200,31.4215,47.0615
2023-02-27 00:00:00+00:00,32.1600,47.0900,31.4900,47.0685
2023-02-28 00:00:00+00:00,32.1400,47.1300,31.5238,47.0746
2023-03-01 00:00:00+00:00,32.2000,47.0900,31.5869,47.0754
2023-03-02 00:00:00+00:00,32.2000,47.0800,31.7662,47.0808
2023-03-03 00:00:00+00:00,32.0900,47.1100,31.9954,47.0900
2023-03-04 00:00:00+00:00,31.8000,47.1300,32.0885,47.0985
2023-03-05 00:00:00+00:00,30.8500,47.0800,32.0146,47.0992
2023-03-06 00:00:00+00:00,31.5300,47.0500,31.9969,47.1031
2023-03-07 00:00:00+00:00,31.9000,47.2100,31.9277,47.1092
2023-03-08 00:00:00+00:00,31.9500,47.1400,31.9423,47.1085
2023-03-09 00:00:00+00:00,31.9600,47.2000,31.9638,47.1192
2023-03-10 00:00:00+00:00,52.1100,47.2300,33.5285,47.1277
2023-03-11 00:00:00+00:00,52.3900,47.4700,35.0215,47.1546
2023-03-12 00:00:00+00:00,43.1300,47.4700,35.8654,47.1838
2023-03-13 00:00:00+00:00,49.9800,47.4600,37.2377,47.2092
2023-03-14 00:00:00+00:00,50.2700,47.5900,38.6277,47.2477
2023-03-15 00:00:00+00:00,49.7800,47.6700,39.9800,47.2931
2023-03-16 00:00:00+00:00,49.8800,47.5800,41.3485,47.3292
2023-03-17 00:00:00+00:00,49.7600,47.7900,42.7300,47.3800
2023-03-18 00:00:00+00:00,48.1700,47.6200,44.0623,47.4215
2023-03-19 00:00:00+00:00,33.9700,47.6900,44.2500,47.4708
2023-03-20 00:00:00+00:00,33.7500,47.5100,44.3923,47.4938
2023-03-21 00:00:00+00:00,39.6600,47.4800,44.9854,47.5200
