# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2025-01-10 18:07:16 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10172200 RED BUTTE CREEK AT FORT DOUGLAS, NEAR SLC, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 10172200
#            TS   parameter     statistic     Description
#        143725       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143725_00060_00003	143725_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10172200	2023-03-01	1.19	A
USGS	10172200	2023-03-02	1.19	A
USGS	10172200	2023-03-03	1.19	A
USGS	10172200	2023-03-04	1.20	A
USGS	10172200	2023-03-05	1.21	A
USGS	10172200	2023-03-06	1.21	A
USGS	10172200	2023-03-07	1.16	A
USGS	10172200	2023-03-08	1.18	A
USGS	10172200	2023-03-09	1.19	A
USGS	10172200	2023-03-10	1.51	A
USGS	10172200	2023-03-11	1.73	A
USGS	10172200	2023-03-12	1.76	A
USGS	10172200	2023-03-13	1.84	A
USGS	10172200	2023-03-14	2.43	A
USGS	10172200	2023-03-15	4.23	A
USGS	10172200	2023-03-16	3.60	A
USGS	10172200	2023-03-17	3.17	A
USGS	10172200	2023-03-18	2.95	A
USGS	10172200	2023-03-19	2.93	A
USGS	10172200	2023-03-20	3.01	A
USGS	10172200	2023-03-21	2.82	A
USGS	10172200	2023-03-22	2.81	A
USGS	10172200	2023-03-23	2.73	A
USGS	10172200	2023-03-24	2.61	A
USGS	10172200	2023-03-25	2.47	A
USGS	10172200	2023-03-26	2.32	A
USGS	10172200	2023-03-27	2.07	A
USGS	10172200	2023-03-28	2.34	A
USGS	10172200	2023-03-29	2.43	A
USGS	10172200	2023-03-30	2.70	A
USGS	10172200	2023-03-31	2.37	A
USGS	10172200	2023-04-01	2.66	A
USGS	10172200	2023-04-02	2.75	A
USGS	10172200	2023-04-03	2.89	A
USGS	10172200	2023-04-04	2.70	A
USGS	10172200	2023-04-05	2.73	A
USGS	10172200	2023-04-06	2.69	A
USGS	10172200	2023-04-07	2.90	A
USGS	10172200	2023-04-08	4.15	A
USGS	10172200	2023-04-09	6.97	A
USGS	10172200	2023-04-10	10.7	A
USGS	10172200	2023-04-11	18.3	A
USGS	10172200	2023-04-12	26.1	A
USGS	10172200	2023-04-13	24.6	A
USGS	10172200	2023-04-14	17.5	A
USGS	10172200	2023-04-15	14.4	A
USGS	10172200	2023-04-16	15.1	A
USGS	10172200	2023-04-17	19.3	A
